"Adiposity","Protein","estimate","sterror","z_value","p_value","n"
"arm_fat_free_mass_left_f23125_0_0","A1BG",0.0183334656211995,0.00284006854876535,6.45528983065197,1.09146686416113e-10,43522
"arm_fat_free_mass_left_f23125_0_0","AAMDC",0.0236140889414303,0.00275048082336397,8.58544031314101,9.35220914417575e-18,42299
"arm_fat_free_mass_left_f23125_0_0","AARSD1",0.00405996566657062,0.00265692544916581,1.52806909499298,0.126501749256778,49723
"arm_fat_free_mass_left_f23125_0_0","ABCA2",0.0236722287443585,0.00277104701228296,8.54270196046075,1.35456384647184e-17,42016
"arm_fat_free_mass_left_f23125_0_0","ABHD14B",0.0158332273040125,0.00255957428388641,6.18588309926744,6.22388621767627e-10,49416
"arm_fat_free_mass_left_f23125_0_0","ABL1",0.0371666351143557,0.00257342180675008,14.4424963746198,3.48453144476675e-47,49723
"arm_fat_free_mass_left_f23125_0_0","ABO",-0.00883645588265339,0.00269026027894656,-3.28461002521047,0.00102204378688232,43486
"arm_fat_free_mass_left_f23125_0_0","ABRAXAS2",0.0113315272652927,0.00277467561899925,4.0839106336256,4.4366100854697e-05,42016
"arm_fat_free_mass_left_f23125_0_0","ACAA1",0.0479031580788449,0.0025578693219504,18.727758164877,5.52905426303542e-78,48780
"arm_fat_free_mass_left_f23125_0_0","ACADM",0.00330734408461712,0.00271279556550544,1.21916451304759,0.222788506585137,42648
"arm_fat_free_mass_left_f23125_0_0","ACADSB",-0.00160508966610023,0.00270019986832533,-0.594433650978476,0.552225204494017,43451
"arm_fat_free_mass_left_f23125_0_0","ACAN",-0.065325809375197,0.00268465061381874,-24.3330767284743,5.11271052106598e-130,49487
"arm_fat_free_mass_left_f23125_0_0","ACE",0.0199143742070917,0.00269352745660013,7.39341793538957,1.45672004722191e-13,43486
"arm_fat_free_mass_left_f23125_0_0","ACE2",0.0911981976852999,0.00274356178396062,33.2408033303503,1.29543677885787e-239,49046
"arm_fat_free_mass_left_f23125_0_0","ACHE",0.00106411908925303,0.00286207596078584,0.371799736915736,0.71004381513075,42491
"arm_fat_free_mass_left_f23125_0_0","ACOT13",0.00536555339756592,0.00271320925941515,1.9775671113265,0.047983905021419,43257
"arm_fat_free_mass_left_f23125_0_0","ACOX1",0.00997892058530091,0.00251456569142183,3.96844696455652,7.24436212610308e-05,49961
"arm_fat_free_mass_left_f23125_0_0","ACP1",0.00746831311300979,0.00278258933219096,2.68394370186469,0.00727877831694136,42181
"arm_fat_free_mass_left_f23125_0_0","ACP5",0.000136484683297995,0.0026384345274491,0.0517294182887879,0.958744502269697,50178
"arm_fat_free_mass_left_f23125_0_0","ACP6",-0.000184042745103519,0.00251188679242788,-0.0732687259865047,0.941592569373143,50301
"arm_fat_free_mass_left_f23125_0_0","ACRBP",0.00493129741953553,0.00271130944263492,1.81878812576375,0.068950680459073,43240
"arm_fat_free_mass_left_f23125_0_0","ACRV1",0.0177379222465873,0.00425966294941571,4.16416098109838,3.13120443124492e-05,42181
"arm_fat_free_mass_left_f23125_0_0","ACSL1",-0.00306432463898568,0.00272917669723897,-1.12280184792937,0.26152808169101,42016
"arm_fat_free_mass_left_f23125_0_0","ACTA2",0.0408904470243148,0.00278188632704367,14.6988202310083,8.33520326627808e-49,49046
"arm_fat_free_mass_left_f23125_0_0","ACTN2",0.0662697468083671,0.00278837647768027,23.7664272880034,4.91844592282023e-124,42016
"arm_fat_free_mass_left_f23125_0_0","ACTN4",0.00467544835117807,0.00252866486758921,1.8489790446749,0.06446685908637,49027
"arm_fat_free_mass_left_f23125_0_0","ACVRL1",0.0742450309662862,0.00265944535999658,27.9174868877102,3.44470772021717e-170,49489
"arm_fat_free_mass_left_f23125_0_0","ACY1",0.122725413808131,0.00261162770389045,46.9919252370126,0,49961
"arm_fat_free_mass_left_f23125_0_0","ACY3",0.0312331314251922,0.00278474158734405,11.2158095986855,3.75242181058362e-29,42016
"arm_fat_free_mass_left_f23125_0_0","ACYP1",0.0155199764012198,0.00281114261826343,5.52087834334327,3.39286467464512e-08,42329
"arm_fat_free_mass_left_f23125_0_0","ADA",0.0346464615679564,0.00253287174862371,13.6787271549704,1.62047937465581e-42,50503
"arm_fat_free_mass_left_f23125_0_0","ADA2",0.0405830061115489,0.00258829795571754,15.6794182145457,2.84007469981977e-55,49669
"arm_fat_free_mass_left_f23125_0_0","ADAM12",0.116169114430446,0.0028572225461664,40.6580560503811,0,42181
"arm_fat_free_mass_left_f23125_0_0","ADAM15",-0.0112725649852567,0.00255595551141885,-4.41031345612082,1.03440588180589e-05,49046
"arm_fat_free_mass_left_f23125_0_0","ADAM22",0.0641985431463811,0.00256445085135574,25.0340314038155,1.87204839331036e-137,49573
"arm_fat_free_mass_left_f23125_0_0","ADAM23",0.0239108741239837,0.0025100994612363,9.52586719898619,1.70627783271118e-21,50503
"arm_fat_free_mass_left_f23125_0_0","ADAM8",0.0597171693826399,0.00250192241447158,23.8685136826086,3.24651882414078e-125,50310
"arm_fat_free_mass_left_f23125_0_0","ADAM9",0.0635505096300357,0.00274814087378047,23.1249097294684,1.34973159598458e-117,43257
"arm_fat_free_mass_left_f23125_0_0","ADAMTS1",0.0229275574062041,0.0027526449990085,8.32928235005336,8.37553127043805e-17,42181
"arm_fat_free_mass_left_f23125_0_0","ADAMTS13",0.0227359611322043,0.0025297830891285,8.98731643432589,2.61848712143843e-19,50574
"arm_fat_free_mass_left_f23125_0_0","ADAMTS15",0.143262383472602,0.00247142285196938,57.9675725497327,0,49723
"arm_fat_free_mass_left_f23125_0_0","ADAMTS16",0.0457911134489098,0.00267863638466356,17.0949344640748,2.50566231775539e-65,49046
"arm_fat_free_mass_left_f23125_0_0","ADAMTS4",0.020789855931207,0.00279320697144235,7.44300588669645,1.00291558905281e-13,42181
"arm_fat_free_mass_left_f23125_0_0","ADAMTS8",-0.0370355120151227,0.00251013925514948,-14.754365495518,3.65933514271565e-49,50098
"arm_fat_free_mass_left_f23125_0_0","ADAMTSL2",0.13577948881548,0.00265869196236677,51.0700339630956,0,43455
"arm_fat_free_mass_left_f23125_0_0","ADAMTSL4",0.00555868987794921,0.00281206975351576,1.97672546031247,0.048079161128881,42299
"arm_fat_free_mass_left_f23125_0_0","ADAMTSL5",-0.00247571986602196,0.00271611454705667,-0.911493172740005,0.362040642126643,43451
"arm_fat_free_mass_left_f23125_0_0","ADCYAP1R1",-0.00569469572414351,0.00253086478584283,-2.25009876307835,0.0244471172884557,48780
"arm_fat_free_mass_left_f23125_0_0","ADD1",0.0071824873545219,0.00284979843419646,2.52034925289272,0.0117274793464127,42491
"arm_fat_free_mass_left_f23125_0_0","ADGRB3",-0.0335756021306125,0.00255391223922396,-13.146732927994,2.06940148318008e-39,49489
"arm_fat_free_mass_left_f23125_0_0","ADGRD1",0.0494873232459572,0.00299834081108359,16.5049026658423,5.24361673537543e-61,42491
"arm_fat_free_mass_left_f23125_0_0","ADGRE1",0.0559089377568544,0.00271920338272318,20.5607782455992,1.72974675085608e-93,43257
"arm_fat_free_mass_left_f23125_0_0","ADGRE2",0.0567180540462909,0.00258263576936429,21.9613058562462,2.14836958101878e-106,50172
"arm_fat_free_mass_left_f23125_0_0","ADGRE5",0.0680315543031574,0.00257220033494975,26.4487774839227,4.22544696493364e-153,50332
"arm_fat_free_mass_left_f23125_0_0","ADGRF5",0.0163265570811544,0.00275301328644178,5.93043163342526,3.0441973484411e-09,43451
