"Estimate","Std. Error","t value","Pr(>|t|)","Adiposity","n","exposure"
-0.031195772236047,0.00334977687009218,-9.31279110396048,1.25017951967651e-20,"basal_metabolic_rate_f23105_0_0",478482,"alcohol_drinker_status_f20117_0_0_Current"
-0.0159059845478676,0.0183054040390234,-0.8689228882334,0.384889760265681,"basal_metabolic_rate_f23105_0_0",462738,"bread_type_f1448_0_0_Do_not_know"
0.0125987859049508,0.00208070137622902,6.05506683894461,1.40466849775748e-09,"basal_metabolic_rate_f23105_0_0",462738,"bread_type_f1448_0_0_White"
-0.00986710026572023,0.00274052892488378,-3.60043646178216,0.000317716647201679,"basal_metabolic_rate_f23105_0_0",462738,"bread_type_f1448_0_0_Brown"
-0.00358620982677637,0.00184748862997763,-1.94112687276446,0.0522434966711205,"basal_metabolic_rate_f23105_0_0",462738,"bread_type_f1448_0_0_Wholemeal_or_wholegrain"
-0.00895230714421673,0.00447329685889311,-2.00127722943742,0.0453631051426795,"basal_metabolic_rate_f23105_0_0",462738,"bread_type_f1448_0_0_Other_type_of_bread"
-0.12108463298907,0.0018101917587128,-66.890500636889,0,"basal_metabolic_rate_f23105_0_0",478482,"major_dietary_changes_in_the_last_5_years_f1538_0_0_No"
0.116369049078115,0.0028602844906281,40.6844317267761,0,"basal_metabolic_rate_f23105_0_0",478482,"major_dietary_changes_in_the_last_5_years_f1538_0_0_Yes._because_of_illness"
0.0860913813820346,0.0019701469897554,43.6979483407596,0,"basal_metabolic_rate_f23105_0_0",478482,"major_dietary_changes_in_the_last_5_years_f1538_0_0_Yes._because_of_other_reasons"
-0.115063064073929,0.00352201078044202,-32.6697080863247,7.63153137131488e-234,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Full_cream"
0.021055962916302,0.00185858751912312,11.3290134038112,9.5087884405549e-30,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Semi.skimmed"
0.0483624257031761,0.00222989514582821,21.6882061892707,2.97742200724405e-104,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Skimmed"
-0.0926394679768393,0.00457708533001311,-20.2398385211171,4.76789820843553e-91,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Soya"
-0.0879998047181808,0.00786341408375286,-11.1910429466004,4.54867031233749e-29,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Other_type_of_milk"
-0.0122787309861443,0.00494269258799657,-2.48421902991974,0.0129839316195823,"basal_metabolic_rate_f23105_0_0",478482,"milk_type_used_f1418_0_0_Never.rarely_have_milk"
-0.0596191878969663,0.00584038310907769,-10.2080953909171,1.83467830776906e-24,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Dairy_products"
0.0612393867707188,0.00230757532129224,26.5384129417821,4.53068585253049e-155,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Sugar_or_foods.drinks_containing_sugar"
-0.0531549104958578,0.00542855794256424,-9.79171836392881,1.22801720281466e-22,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Wheat_products"
-0.0397254187986533,0.00534297474067307,-7.43507516444837,1.04681517937737e-13,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Eggs_or_foods_containing_eggs"
-0.0339319711979156,0.00212469691444688,-15.9702642608436,2.13085068379107e-57,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_I_eat_all_of_the_above"
-0.0257562844323411,0.0152709416652749,-1.68662057631385,0.091676984793535,"basal_metabolic_rate_f23105_0_0",478482,"never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Prefer_not_to_answer"
-0.109924951108315,0.0366655998778462,-2.99804043775465,0.00271735568178527,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Prefer_not_to_answer"
-0.0199340811646484,0.0226045061719042,-0.881863156534031,0.377851256186945,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Do_not_know"
-0.0234728100656111,0.00286704048426737,-8.18712194488219,2.68194493494817e-16,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Never.rarely_use_spread"
0.0291131619280294,0.00184610792452635,15.7700216445899,5.16887927959531e-56,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Butter.spreadable_butter"
-0.00444411234047091,0.0126305388257397,-0.35185453303182,0.724947513767432,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Flora_Pro.Active.Benecol"
-0.017707617496285,0.00178860603697244,-9.90023355073686,4.17436306124953e-23,"basal_metabolic_rate_f23105_0_0",478482,"spread_type_f1428_0_0_Other_type_of_spread.margarine"
0.0282472756245043,0.00183208572417319,15.4180971183824,1.27447640893645e-53,"basal_metabolic_rate_f23105_0_0",476629,"ever_smoked_f20160_0_0"
-0.0183664121619759,0.0314712028842371,-0.583594221979199,0.559493623610555,"basal_metabolic_rate_f23105_0_0",478482,"current_tobacco_smoking_f1239_0_0_Prefer_not_to_answer"
0.0888806392263895,0.00289631481317098,30.6874925412822,1.32909234286491e-206,"basal_metabolic_rate_f23105_0_0",478482,"current_tobacco_smoking_f1239_0_0_No"
-0.122621091073161,0.00331862540866194,-36.9493618511774,1.97414929298203e-298,"basal_metabolic_rate_f23105_0_0",478482,"current_tobacco_smoking_f1239_0_0_Yes._on_most_or_all_days"
0.0161944268970969,0.00544479088940566,2.97429731022501,0.00293675039091557,"basal_metabolic_rate_f23105_0_0",478482,"current_tobacco_smoking_f1239_0_0_Only_occasionally"
-0.0434730204767835,0.0205367247373732,-2.11684292567209,0.0342737388667938,"basal_metabolic_rate_f23105_0_0",441377,"smoking_smokers_in_household_f1259_0_0_Prefer_not_to_answer"
-0.0545820200763763,0.00300362796596956,-18.1720308556114,9.14654684904718e-74,"basal_metabolic_rate_f23105_0_0",441377,"smoking_smokers_in_household_f1259_0_0_No"
0.0520824153230976,0.0031973056358895,16.2894703398,1.22045286087359e-59,"basal_metabolic_rate_f23105_0_0",441377,"smoking_smokers_in_household_f1259_0_0_Yes._one_household_member_smokes"
0.076275532046105,0.00849450156437757,8.97940055317349,2.7327505470853e-19,"basal_metabolic_rate_f23105_0_0",441377,"smoking_smokers_in_household_f1259_0_0_Yes._more_than_one_household_member_smokes"
0.0540693061852299,0.0140478173844247,3.84894711438793,0.000118642013938225,"basal_metabolic_rate_f23105_0_0",478482,"smoking_status_f20116_0_0_Prefer_not_to_answer"
-0.0483409799737224,0.00180399617368284,-26.796608927964,4.63558823969147e-158,"basal_metabolic_rate_f23105_0_0",478482,"smoking_status_f20116_0_0_Never"
0.090252506535109,0.00189122138851238,47.7218093467634,0,"basal_metabolic_rate_f23105_0_0",478482,"smoking_status_f20116_0_0_Previous"
-0.0893132739369111,0.00290589545979547,-30.7351985550084,3.07498808920515e-207,"basal_metabolic_rate_f23105_0_0",478482,"smoking_status_f20116_0_0_Current"
-0.0676533949070054,0.00197431592861514,-34.2667523097279,5.97807988189308e-257,"basal_metabolic_rate_f23105_0_0",387337,"at_or_above_moderate_vigorous_recommendation_f22035_0_0"
-0.105235599560068,0.00253988233065967,-41.4332578677911,0,"basal_metabolic_rate_f23105_0_0",387239,"at_or_above_moderate_vigorous_walking_recommendation_f22036_0_0"
-0.00389578629983675,0.00602330812614581,-0.646785158296322,0.517771309528101,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Prefer_not_to_answer"
0.00970306807050214,0.0100287277324469,0.967527320450512,0.333280979454463,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Do_not_know"
-0.0620534630300923,0.00184501798116905,-33.6329855120293,1.07919126217871e-247,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Never.rarely"
0.0339248950894729,0.00187018571730066,18.139853585471,1.63483742976203e-73,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Sometimes"
0.0771590166414498,0.00310284492906637,24.8671842793853,2.0595267533205e-136,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Often"
0.110412201348185,0.00456411330897744,24.1913804223503,3.28040432299778e-129,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Most_of_the_time"
-0.0586815835565095,0.00349774953968097,-16.7769541217242,3.75136647114529e-63,"basal_metabolic_rate_f23105_0_0",478482,"drive_faster_than_motorway_speed_limit_f1100_0_0_Do_not_drive_on_the_motorway"
-0.0229345755855467,0.00186157960343312,-12.3199542706908,7.16043174844182e-35,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Heavy_DIY_.eg._weeding._lawn_mowing._carpentry._digging."
-0.0157036427615031,0.00179065739339394,-8.7697640092609,1.7961106276215e-18,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Light_DIY_.eg._pruning._watering_the_lawn."
0.119092466777367,0.00363399599679644,32.771766089548,2.72183188960881e-235,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_None_of_the_above"
-0.0436728897913473,0.00178893296469498,-24.4128151547555,1.50656859805538e-131,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Other_exercises_.eg._swimming._cycling._keep_fit._bowling."
-0.0743940727186427,0.00299207905930047,-24.8636721303867,2.24865393819916e-136,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Strenuous_sports"
-0.0816229888655197,0.00195820134030432,-41.6826335400397,0,"basal_metabolic_rate_f23105_0_0",477297,"types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Walking_for_pleasure_.not_as_a_means_of_transport."
0.0867889652970366,0.00220467383591225,39.365897976979,0,"basal_metabolic_rate_f23105_0_0",477141,"types_of_transport_used_excluding_work_f6162_0_0.multi_Car.motor_vehicle"
-0.0888173568042324,0.00351837065478107,-25.2438885833531,1.63605287066724e-140,"basal_metabolic_rate_f23105_0_0",477141,"types_of_transport_used_excluding_work_f6162_0_0.multi_Cycle"
